scenario_id,scenario_type,num_of_flight,entry_x_0,entry_y_0,entry_angle_0,exit_x_0,exit_y_0,exit_angle_0,middle_x_0,middle_y_0,middle_radius_0,middle_angle_0,speed_0,entry_time_0,entry_x_1,entry_y_1,entry_angle_1,exit_x_1,exit_y_1,exit_angle_1,middle_x_1,middle_y_1,middle_radius_1,middle_angle_1,speed_1,entry_time_1,is_conflict,ownship_level,intruder_level,surrounding_flight,sync_time_0,sync_time_1,sync_point_x_0,sync_point_y_0,sync_point_x_1,sync_point_y_1
1,,2,10.43854887853638,313.252494002258,,531.3825251359481,81.31329233376934,,270.9105370072422,197.2828931680137,,,0.8,98.0,137.4191925913445,74.4366367848663,,648.7823033893585,357.8898376792506,,393.1007479903515,216.16323723205846,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 15.879301296747542, ""entry_y"": 391.0588785204944, ""exit_x"": 412.82209443280664, ""exit_y"": 20.903735587498147, ""middle_x"": 214.3506978647771, ""middle_y"": 205.98130705399626, ""entry_time"": 129.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 138, ""sync_offset"": 110.4, ""sync_point_x"": 96.62074995550395, ""sync_point_y"": 315.7662595695945, ""flight_point_level"": 0.0},{""entry_x"": 401.9843373900368, ""entry_y"": 641.7984207312752, ""exit_x"": 115.87820596516536, ""exit_y"": 92.19365584723386, ""middle_x"": 258.9312716776011, ""middle_y"": 366.99603828925456, ""entry_time"": 79.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 188, ""sync_offset"": 150.4, ""sync_point_x"": 332.53734595948765, ""sync_point_y"": 508.39199142127063, ""flight_point_level"": 0.0},{""entry_x"": 99.8112638916316, ""entry_y"": 552.2906785468791, ""exit_x"": 88.49293432871295, ""exit_y"": 120.06111072303767, ""middle_x"": 94.15209911017227, ""middle_y"": 336.1758946349584, ""entry_time"": 97.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 170, ""sync_offset"": 136.0, ""sync_point_x"": 96.25119892176086, ""sync_point_y"": 416.33728235020334, ""flight_point_level"": 0.0}]",169.0,0.0,133.94989475181603,258.2616998584098,137.4191925913445,74.4366367848663
2,,2,645.1384809639065,385.5674168534177,,194.7621562429762,39.981508148271985,,419.95031860344136,212.77446250084483,,,0.8,244.0,615.1220877402777,184.72304008334504,,296.5508917543509,648.2470065178475,,455.8364897473143,416.48502330059625,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 199.84427421574398, ""entry_y"": 37.66545355436767, ""exit_x"": 194.7621562429762, ""exit_y"": 620.018491851728, ""middle_x"": 197.3032152293601, ""middle_y"": 328.8419727030478, ""entry_time"": 158.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 109, ""sync_offset"": 87.2, ""sync_point_x"": 199.08332032028576, ""sync_point_y"": 124.8621332455634, ""flight_point_level"": 0.0},{""entry_x"": 628.7457364791046, ""entry_y"": 215.3222561455039, ""exit_x"": 15.879301296747542, ""exit_y"": 268.9411214795056, ""middle_x"": 322.3125188879261, ""middle_y"": 242.13168881250476, ""entry_time"": 21.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 246, ""sync_offset"": 196.8, ""sync_point_x"": 432.694619894649, ""sync_point_y"": 232.47450631824302, ""flight_point_level"": 0.0},{""entry_x"": 99.8112638916316, ""entry_y"": 552.2906785468791, ""exit_x"": 564.0331845181346, ""exit_y"": 111.76052478000048, ""middle_x"": 331.9222242048831, ""middle_y"": 332.02560166343983, ""entry_time"": 7.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 260, ""sync_offset"": 208.0, ""sync_point_x"": 250.68913306218744, ""sync_point_y"": 409.1129268025783, ""flight_point_level"": 0.0}]",23.0,0.0,630.5407795025478,374.3662065596572,615.1220877402777,184.72304008334504
3,,2,120.06111072303759,571.507065671287,,215.3222561455039,31.25426352089545,,167.69168343427074,301.38066459609126,,,0.8,54.0,111.76052478000054,95.96681548186538,,285.46460769277905,646.8857819973025,,198.6125662363898,371.42629873958396,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 241.7960461385603, ""entry_y"": 22.396257299737954, ""exit_x"": 592.1286541724774, ""exit_y"": 513.5444596323348, ""middle_x"": 416.96235015551883, ""middle_y"": 267.9703584660364, ""entry_time"": 13.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 254, ""sync_offset"": 203.20000000000002, ""sync_point_x"": 359.79488673902324, ""sync_point_y"": 187.82453062974207, ""flight_point_level"": 0.0},{""entry_x"": 564.0331845181346, ""entry_y"": 548.2394752199996, ""exit_x"": 61.625418257464275, ""exit_y"": 155.7155087951914, ""middle_x"": 312.82930138779943, ""middle_y"": 351.9774920075955, ""entry_time"": 115.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 152, ""sync_offset"": 121.60000000000001, ""sync_point_x"": 468.2110768795572, ""sync_point_y"": 473.37503982039954, ""flight_point_level"": 0.0},{""entry_x"": 165.18781602878266, ""entry_y"": 55.70646377532404, ""exit_x"": 595.2920232176133, ""exit_y"": 151.05827088936098, ""middle_x"": 380.239919623198, ""middle_y"": 103.38236733234251, ""entry_time"": 41.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 226, ""sync_offset"": 180.8, ""sync_point_x"": 341.70213411606665, ""sync_point_y"": 94.83874597533304, ""flight_point_level"": 0.0}]",213.0,0.0,149.65076019748255,403.69582455800673,111.76052478000054,95.96681548186538
4,,2,460.15572578425605,622.3345464456322,,439.446445864214,29.29836134850933,,449.80108582423503,325.8164538970708,,,0.8,52.0,428.8854381999832,25.66191478555089,,480.23090009148507,612.5432297148566,,454.55816914573415,319.1025722502037,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 44.87791225972228, ""entry_y"": 184.723040083345, ""exit_x"": 141.90871926640864, ""exit_y"": 588.8854381999831, ""middle_x"": 93.39331576306546, ""middle_y"": 386.8042391416641, ""entry_time"": 169.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 98, ""sync_offset"": 78.4, ""sync_point_x"": 63.180028786025275, ""sync_point_y"": 260.95684184252286, ""flight_point_level"": 0.0},{""entry_x"": 617.6140948157334, ""entry_y"": 470.27876697250474, ""exit_x"": 47.45677028514342, ""exit_y"": 179.76909990851485, ""middle_x"": 332.53543255043843, ""middle_y"": 325.0239334405098, ""entry_time"": 181.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 86, ""sync_offset"": 68.8, ""sync_point_x"": 556.3128459515738, ""sync_point_y"": 439.0442205904239, ""flight_point_level"": 0.0},{""entry_x"": 160.42583544537447, ""entry_y"": 58.624609229943644, ""exit_x"": 634.3380852144492, ""exit_y"": 428.8854381999832, ""middle_x"": 397.3819603299118, ""middle_y"": 243.75502371496341, ""entry_time"": 224.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 43, ""sync_offset"": 34.4, ""sync_point_x"": 187.53340536944572, ""sync_point_y"": 79.80336398114629, ""flight_point_level"": 0.0}]",215.0,0.0,454.1530123514259,450.4393241983478,428.8854381999832,25.66191478555089
5,,2,92.19365584723391,544.1217940348347,,527.0116721042107,77.836558845849,,309.6026639757223,310.97917644034186,,,0.8,166.0,604.293536224676,165.18781602878266,,18.201579268724743,401.9843373900367,,311.2475577467004,283.58607670940967,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 137.4191925913445, ""entry_y"": 74.4366367848663, ""exit_x"": 42.38590518426656, ""exit_y"": 470.27876697250474, ""middle_x"": 89.90254888780554, ""middle_y"": 272.35770187868553, ""entry_time"": 125.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 142, ""sync_offset"": 113.60000000000001, ""sync_point_x"": 110.89979925731367, ""sync_point_y"": 184.89785974204236, ""flight_point_level"": 0.0},{""entry_x"": 231.11456180001684, ""entry_y"": 634.3380852144492, ""exit_x"": 146.45554036766532, ""exit_y"": 67.87134582752253, ""middle_x"": 188.7850510838411, ""middle_y"": 351.10471552098585, ""entry_time"": 176.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 91, ""sync_offset"": 72.8, ""sync_point_x"": 220.3540366697812, ""sync_point_y"": 562.3377303617016, ""flight_point_level"": 0.0},{""entry_x"": 571.507065671287, ""entry_y"": 539.9388892769623, ""exit_x"": 10.43854887853638, ""exit_y"": 346.747505997742, ""middle_x"": 290.9728072749117, ""middle_y"": 443.34319763735215, ""entry_time"": 230.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 37, ""sync_offset"": 29.6, ""sync_point_x"": 543.5197158335473, ""sync_point_y"": 530.3020719050305, ""flight_point_level"": 0.0}]",101.0,0.0,147.2991233402838,485.0284149440057,604.293536224676,165.18781602878266
6,,2,11.752993482152533,363.4491082456492,,567.8063441527661,544.1217940348347,,289.7796688174593,453.78545114024195,,,0.8,235.0,274.4325831465823,645.1384809639065,,236.44105448872426,23.982478091828625,,255.4368188176533,334.5604795278676,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 401.9843373900368, ""entry_y"": 641.7984207312752, ""exit_x"": 50.12169371539335, ""exit_y"": 485.13907847882786, ""middle_x"": 226.05301555271507, ""middle_y"": 563.4687496050515, ""entry_time"": 74.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 193, ""sync_offset"": 154.4, ""sync_point_x"": 260.9329187300192, ""sync_point_y"": 578.9982830403717, ""flight_point_level"": 0.0},{""entry_x"": 363.4491082456491, ""entry_y"": 11.752993482152533, ""exit_x"": 39.98150814827204, ""exit_y"": 465.2378437570238, ""middle_x"": 201.71530819696056, ""middle_y"": 238.49541861958818, ""entry_time"": 21.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 246, ""sync_offset"": 196.8, ""sync_point_x"": 249.16676656173615, ""sync_point_y"": 171.97092749467618, ""flight_point_level"": 0.0},{""entry_x"": 47.45677028514342, ""entry_y"": 179.76909990851485, ""exit_x"": 612.5432297148566, ""exit_y"": 179.76909990851493, ""middle_x"": 330.0, ""middle_y"": 179.76909990851487, ""entry_time"": 131.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 136, ""sync_offset"": 108.80000000000001, ""sync_point_x"": 156.25677028514343, ""sync_point_y"": 179.76909990851485, ""flight_point_level"": 0.0}]",32.0,0.0,36.10004029930846,371.35994330164783,274.4325831465823,645.1384809639065
7,,2,531.3825251359481,578.6867076662306,,33.30116653862808,210.1258901069081,,282.3418458372881,394.40629888656935,,,0.8,0.0,99.8112638916316,552.2906785468791,,247.17790556719333,20.903735587498147,,173.49458472941245,286.5972070671886,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 88.49293432871295, ""entry_y"": 120.06111072303767, ""exit_x"": 470.27876697250474, ""exit_y"": 617.6140948157334, ""middle_x"": 279.38585065060886, ""middle_y"": 368.83760276938557, ""entry_time"": 256.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 11, ""sync_offset"": 8.8, ""sync_point_x"": 93.8500349039897, ""sync_point_y"": 127.04262011760053, ""flight_point_level"": 0.0},{""entry_x"": 592.1286541724774, ""entry_y"": 146.45554036766526, ""exit_x"": 567.8063441527661, ""exit_y"": 544.1217940348347, ""middle_x"": 579.9674991626217, ""middle_y"": 345.28866720124995, ""entry_time"": 121.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 146, ""sync_offset"": 116.80000000000001, ""sync_point_x"": 584.9981847548061, ""sync_point_y"": 263.0376848233393, ""flight_point_level"": 0.0},{""entry_x"": 380.0590288128739, ""entry_y"": 13.939731009555885, ""exit_x"": 263.4682589383171, ""exit_y"": 643.0072322348178, ""middle_x"": 321.7636438755955, ""middle_y"": 328.47348162218685, ""entry_time"": 252.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 15, ""sync_offset"": 12.0, ""sync_point_x"": 377.87220250696816, ""sync_point_y"": 25.73878990032334, ""flight_point_level"": 0.0}]",267.0,0.0,359.67869970811046,451.63256041614414,99.8112638916316,552.2906785468791
8,,2,279.9409711871261,13.939731009555942,,598.3745817425357,504.28449120480866,,439.15777646483093,259.1121111071823,,,0.8,199.0,470.27876697250474,617.6140948157334,,434.18180942629016,27.43405580821866,,452.2302881993975,322.52407531197605,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 12.385231474776958, ""entry_y"": 368.9981898896472, ""exit_x"": 615.1220877402777, ""exit_y"": 184.72304008334504, ""middle_x"": 313.7536596075273, ""middle_y"": 276.8606149864961, ""entry_time"": 236.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 31, ""sync_offset"": 24.8, ""sync_point_x"": 36.10158942266024, ""sync_point_y"": 361.74737161252335, ""flight_point_level"": 0.0},{""entry_x"": 215.3222561455039, ""entry_y"": 628.7457364791046, ""exit_x"": 111.76052478000054, ""exit_y"": 95.96681548186538, ""middle_x"": 163.54139046275222, ""middle_y"": 362.356275980485, ""entry_time"": 17.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 250, ""sync_offset"": 200.0, ""sync_point_x"": 177.16045707019498, ""sync_point_y"": 432.4202997895718, ""flight_point_level"": 0.0},{""entry_x"": 640.4946324083189, ""entry_y"": 252.58499340810633, ""exit_x"": 407.41500659189376, ""exit_y"": 640.4946324083189, ""middle_x"": 523.9548195001064, ""middle_y"": 446.53981290821264, ""entry_time"": 156.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 111, ""sync_offset"": 88.80000000000001, ""sync_point_x"": 594.7592513563061, ""sync_point_y"": 328.7014497104539, ""flight_point_level"": 0.0}]",68.0,0.0,309.5693346919436,59.56340990578701,470.27876697250474,617.6140948157334
9,,2,648.2470065178475,296.5508917543509,,16.99276776518218,396.53174106168296,,332.6198871415148,346.54131640801694,,,0.8,16.0,58.6246092299437,499.57416455462555,,494.8121839712174,55.706463775324096,,276.71839660058055,277.6403141649748,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 160.42583544537447, ""entry_y"": 601.3753907700564, ""exit_x"": 615.1220877402777, ""exit_y"": 475.27695991665496, ""middle_x"": 387.7739615928261, ""middle_y"": 538.3261753433557, ""entry_time"": 227.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 40, ""sync_offset"": 32.0, ""sync_point_x"": 191.2620099480504, ""sync_point_y"": 592.8237627355521, ""flight_point_level"": 0.0},{""entry_x"": 607.1281292110205, ""entry_y"": 170.00000000000003, ""exit_x"": 155.71550879519134, ""exit_y"": 598.3745817425357, ""middle_x"": 381.4218190031059, ""middle_y"": 384.18729087126786, ""entry_time"": 103.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 164, ""sync_offset"": 131.20000000000002, ""sync_point_x"": 511.9590117342083, ""sync_point_y"": 260.31212033102054, ""flight_point_level"": 0.0},{""entry_x"": 302.11016232074934, ""entry_y"": 11.21769661064144, ""exit_x"": 518.0912807335915, ""exit_y"": 588.8854381999831, ""middle_x"": 410.10072152717044, ""middle_y"": 300.0515674053123, ""entry_time"": 145.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 122, ""sync_offset"": 97.60000000000001, ""sync_point_x"": 336.2904027316734, ""sync_point_y"": 102.63690228128505, ""flight_point_level"": 0.0}]",251.0,0.0,449.9191877263438,327.96293233442924,58.6246092299437,499.57416455462555
10,,2,522.5808074086555,585.5633632151337,,77.836558845849,527.0116721042107,,300.20868312725224,556.2875176596722,,,0.8,79.0,247.17790556719333,639.0962644125018,,556.2741699796952,103.72583002030481,,401.72603777344426,371.4110472164033,,,0.8,267.0,,0.0,0.0,"[{""entry_x"": 470.27876697250474, ""entry_y"": 42.38590518426656, ""exit_x"": 434.18180942629016, ""exit_y"": 632.5659441917813, ""middle_x"": 452.2302881993975, ""middle_y"": 337.47592468802395, ""entry_time"": 42.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 225, ""sync_offset"": 180.0, ""sync_point_x"": 459.29002985623055, ""sync_point_y"": 222.05016890020264, ""flight_point_level"": 0.0},{""entry_x"": 20.903735587498204, ""entry_y"": 412.8220944328067, ""exit_x"": 368.99818988964716, ""exit_y"": 12.385231474776958, ""middle_x"": 194.95096273857268, ""middle_y"": 212.60366295379183, ""entry_time"": 255.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 12, ""sync_offset"": 9.600000000000001, ""sync_point_x"": 27.20190226580707, ""sync_point_y"": 405.5768824626681, ""flight_point_level"": 0.0},{""entry_x"": 575.134221798073, ""entry_y"": 535.6920350996926, ""exit_x"": 460.15572578425605, ""exit_y"": 37.66545355436773, ""middle_x"": 517.6449737911645, ""middle_y"": 286.67874432703013, ""entry_time"": 193.0, ""flight_level"": 0, ""speed"": 0.8, ""sync_time"": 74, ""sync_offset"": 59.2, ""sync_point_x"": 561.8171193809162, ""sync_point_y"": 478.00932726440664, ""flight_point_level"": 0.0}]",188.0,0.0,373.46750025803436,565.932223905238,247.17790556719333,639.0962644125018
