scenario_id,scenario_type,num_of_flight,entry_x_0,entry_y_0,entry_angle_0,exit_x_0,exit_y_0,exit_angle_0,middle_x_0,middle_y_0,middle_radius_0,middle_angle_0,speed_0,entry_time_0,entry_x_1,entry_y_1,entry_angle_1,exit_x_1,exit_y_1,exit_angle_1,middle_x_1,middle_y_1,middle_radius_1,middle_angle_1,speed_1,entry_time_1,is_conflict,ownship_level,intruder_level,surrounding_flight,sync_time_0,sync_time_1,sync_point_x_0,sync_point_y_0,sync_point_x_1,sync_point_y_1,res_x,res_y
1,,2,14.41943053,426.4826626,,582.7946662,117.8800888,,298.6070484,272.1813757,,,0.825,227,0.201027084,318.4831661,,590.0435487,126.8317131,,295.1222879,222.6574396,,,0.825,267,,0,0,"[{""entry_x"": 593.5497183156067, ""entry_y"": 131.40104235982406, ""exit_x"": 586.4581672808004, ""exit_y"": 537.6757290464463, ""middle_x"": 590.0039427982035, ""middle_y"": 334.5383857031352, ""entry_time"": 129.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 138, ""sync_offset"": 113.85, ""sync_point_x"": 591.5627618427219, ""sync_point_y"": 245.23370245337918, ""flight_point_level"": 0.0},{""entry_x"": 185.33752155960443, ""entry_y"": 33.39796472127489, ""exit_x"": 555.0594588206245, ""exit_y"": 571.3467215343262, ""middle_x"": 370.19849019011446, ""middle_y"": 302.37234312780055, ""entry_time"": 247.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 20, ""sync_offset"": 16.5, ""sync_point_x"": 194.68322446886418, ""sync_point_y"": 46.996046833538145, ""flight_point_level"": 0.0},{""entry_x"": 409.8342255478904, ""entry_y"": 650.1975896710788, ""exit_x"": 0.8038634142579895, ""exit_y"": 353.0196363355614, ""middle_x"": 205.3190444810742, ""middle_y"": 501.6086130033201, ""entry_time"": 44.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 223, ""sync_offset"": 183.975, ""sync_point_x"": 260.99532400775945, ""sync_point_y"": 542.0597978805711, ""flight_point_level"": 0.0}]",40,0,43.42039525,410.7364235,0.201027084,318.4831661,57,185
2,,2,7.211291758,261.389142,,509.7308816,53.23871258,,258.4710867,157.3139273,,,0.825,266,638.0815407,211.7385767,,150.2691184,53.23871258,,394.1753296,132.4886446,,,0.825,267,,0,0,"[{""entry_x"": 448.26142334994915, ""entry_y"": 21.918459255923437, ""exit_x"": 651.5421213791276, ""exit_y"": 404.23384793347543, ""middle_x"": 549.9017723645384, ""middle_y"": 213.07615359469943, ""entry_time"": 23.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 244, ""sync_offset"": 201.29999999999998, ""sync_point_x"": 542.7660489387489, ""sync_point_y"": 199.65580969842543, ""flight_point_level"": 0.0},{""entry_x"": 77.2053337707373, ""entry_y"": 117.88008880344196, ""exit_x"": 437.43749097086175, ""exit_y"": 642.0211299477745, ""middle_x"": 257.3214123707995, ""middle_y"": 379.9506093756082, ""entry_time"": 204.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 63, ""sync_offset"": 51.974999999999994, ""sync_point_x"": 106.64429793490548, ""sync_point_y"": 160.71404745707122, ""flight_point_level"": 0.0},{""entry_x"": 514.5336581453464, ""entry_y"": 603.5823989431638, ""exit_x"": 453.62017582725093, ""exit_y"": 24.029327992960134, ""middle_x"": 484.07691698629867, ""middle_y"": 313.80586346806194, ""entry_time"": 115.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 152, ""sync_offset"": 125.39999999999999, ""sync_point_x"": 501.42578885158264, ""sync_point_y"": 478.86935326398225, ""flight_point_level"": 0.0}]",1,0,7.973492372,261.0734282,638.0815407,211.7385767,373,50
3,,2,593.5497183,528.5989576,,69.95645131,533.1682869,,331.7530848,530.8836222,,,0.825,37,19.90143514,217.1333527,,145.4663419,603.5823989,,82.6838885,410.3578758,,,0.825,267,,0,0,"[{""entry_x"": 44.21161675113524, ""entry_y"": 495.0, ""exit_x"": 426.48266255850314, ""exit_y"": 645.5805694678018, ""middle_x"": 235.3471396548192, ""middle_y"": 570.2902847339009, ""entry_time"": 190.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 77, ""sync_offset"": 63.525, ""sync_point_x"": 103.31639275719334, ""sync_point_y"": 518.281990427661, ""flight_point_level"": 0.0},{""entry_x"": 5.013441505971343, ""entry_y"": 387.30389863008696, ""exit_x"": 415.4102848838319, ""exit_y"": 11.24447732460743, ""middle_x"": 210.2118631949016, ""middle_y"": 199.2741879773472, ""entry_time"": 256.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 11, ""sync_offset"": 9.075, ""sync_point_x"": 11.704233337523219, ""sync_point_y"": 381.17291749597484, ""flight_point_level"": 0.0},{""entry_x"": 648.7555226753925, ""entry_y"": 415.4102848838319, ""exit_x"": 489.98717468129126, ""exit_y"": 41.375496643999384, ""middle_x"": 569.3713486783419, ""middle_y"": 228.39289076391563, ""entry_time"": 23.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 244, ""sync_offset"": 201.29999999999998, ""sync_point_x"": 570.1013465105017, ""sync_point_y"": 230.11265788385566, ""flight_point_level"": 0.0}]",230,0,403.8069434,530.2548178,19.90143514,217.1333527,200,264
4,,2,603.5823989,514.5336581,,126.8317131,69.95645131,,365.207056,292.2450547,,,0.825,152,586.4581673,122.324271,,5.013441506,272.6961014,,295.7358044,197.5101862,,,0.825,267,,0,0,"[{""entry_x"": 19.90143514065028, ""entry_y"": 442.86664729747076, ""exit_x"": 606.7612874219899, ""exit_y"": 150.26911844504107, ""middle_x"": 313.3313612813201, ""middle_y"": 296.5678828712559, ""entry_time"": 30.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 237, ""sync_offset"": 195.52499999999998, ""sync_point_x"": 194.8834761928862, ""sync_point_y"": 355.62381988917537, ""flight_point_level"": 0.0},{""entry_x"": 571.3467215343263, ""entry_y"": 555.0594588206245, ""exit_x"": 66.4502816843933, ""exit_y"": 131.40104235982412, ""middle_x"": 318.8985016093598, ""middle_y"": 343.23025059022433, ""entry_time"": 18.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 249, ""sync_offset"": 205.42499999999998, ""sync_point_x"": 413.98204180661025, ""sync_point_y"": 423.01481410076724, ""flight_point_level"": 0.0},{""entry_x"": 272.696101369913, ""entry_y"": 654.9865584940287, ""exit_x"": 590.0435486902182, ""exit_y"": 126.8317131425328, ""middle_x"": 431.3698250300656, ""middle_y"": 390.9091358182808, ""entry_time"": 133.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 134, ""sync_offset"": 110.55, ""sync_point_x"": 329.6335605512195, ""sync_point_y"": 560.2267134014102, ""flight_point_level"": 0.0}]",115,0,534.1952165,449.8290637,586.4581673,122.324271,105,152
5,,2,519.280224,59.67982538,,9.802410329,409.8342255,,264.5413172,234.7570255,,,0.825,26,190.5359736,30.91843028,,50.14412827,504.8733572,,120.3400509,267.8958937,,,0.825,267,,0,0,"[{""entry_x"": 381.6233734632762, ""entry_y"": 4.062847603604553, ""exit_x"": 3.2115373152818165, ""exit_y"": 284.0728766831783, ""middle_x"": 192.417455389279, ""middle_y"": 144.06786214339144, ""entry_time"": 44.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 223, ""sync_offset"": 183.975, ""sync_point_x"": 233.73380753122362, ""sync_point_y"": 113.49536979618256, ""flight_point_level"": 0.0},{""entry_x"": 659.9497394016091, ""entry_y"": 335.75929412430355, ""exit_x"": 140.71977600415488, ""exit_y"": 59.679825384632636, ""middle_x"": 400.33475770288203, ""middle_y"": 197.7195597544681, ""entry_time"": 208.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 59, ""sync_offset"": 48.675, ""sync_point_x"": 616.9722653192009, ""sync_point_y"": 312.9077658057003, ""flight_point_level"": 0.0},{""entry_x"": 370.21688332369865, ""entry_y"": 2.4597699583637223, ""exit_x"": 660.0, ""exit_y"": 330.0, ""middle_x"": 515.1084416618494, ""middle_y"": 166.22988497918186, ""entry_time"": 136.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 131, ""sync_offset"": 108.07499999999999, ""sync_point_x"": 441.8295450346145, ""sync_point_y"": 83.4031594826351, ""flight_point_level"": 0.0}]",241,0,355.4233345,172.2955454,190.5359736,30.91843028,217,315
6,,2,499.9625647,47.13479077,,267.0330315,653.9369705,,383.4977981,350.5358807,,,0.825,26,624.032153,479.8168649,,73.54183272,537.675729,,348.7869929,508.746297,,,0.825,267,,0,0,"[{""entry_x"": 519.2802239958453, ""entry_y"": 600.3201746153673, ""exit_x"": 318.48316608817476, ""exit_y"": 0.20102708369842048, ""middle_x"": 418.88169504201005, ""middle_y"": 300.2606008495328, ""entry_time"": 181.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 86, ""sync_offset"": 70.95, ""sync_point_x"": 496.767458623904, ""sync_point_y"": 533.0366112784874, ""flight_point_level"": 0.0},{""entry_x"": 11.244477324607487, ""entry_y"": 415.41028488383193, ""exit_x"": 453.62017582725093, ""exit_y"": 635.9706720070399, ""middle_x"": 232.4323265759292, ""middle_y"": 525.6904784454359, ""entry_time"": 83.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 184, ""sync_offset"": 151.79999999999998, ""sync_point_x"": 147.0955134157949, ""sync_point_y"": 483.14311291390095, ""flight_point_level"": 0.0},{""entry_x"": 77.2053337707373, ""entry_y"": 117.88008880344196, ""exit_x"": 312.7291344398286, ""exit_y"": 659.5477464690093, ""middle_x"": 194.96723410528296, ""middle_y"": 388.71391763622563, ""entry_time"": 35.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 232, ""sync_offset"": 191.39999999999998, ""sync_point_x"": 153.52590556302943, ""sync_point_y"": 293.4053870407547, ""flight_point_level"": 0.0}]",241,0,428.7100572,232.7539191,624.032153,479.8168649,393,427
7,,2,642.0211299,222.562509,,381.6233735,655.9371524,,511.8222517,439.2498307,,,0.825,91,73.54183272,537.675729,,464.2230922,631.470001,,268.8824625,584.572865,,,0.825,267,,0,0,"[{""entry_x"": 533.1682868574673, ""entry_y"": 590.0435486902182, ""exit_x"": 3.2115373152818165, ""exit_y"": 284.0728766831783, ""middle_x"": 268.18991208637453, ""middle_y"": 437.0582126866983, ""entry_time"": 158.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 109, ""sync_offset"": 89.925, ""sync_point_x"": 455.29095242215163, ""sync_point_y"": 545.0810486902183, ""flight_point_level"": 0.0},{""entry_x"": 84.76220759245996, ""entry_y"": 109.18689990157674, ""exit_x"": 555.0594588206245, ""exit_y"": 571.3467215343262, ""middle_x"": 319.91083320654224, ""middle_y"": 340.26681071795144, ""entry_time"": 36.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 231, ""sync_offset"": 190.575, ""sync_point_x"": 220.68991194001813, ""sync_point_y"": 242.76268294552082, ""flight_point_level"": 0.0},{""entry_x"": 387.303898630087, ""entry_y"": 5.013441505971343, ""exit_x"": 546.4994795668674, ""exit_y"": 579.0541614735148, ""middle_x"": 466.9016890984772, ""middle_y"": 292.03380148974304, ""entry_time"": 70.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 197, ""sync_offset"": 162.52499999999998, ""sync_point_x"": 430.7368157022057, ""sync_point_y"": 161.62748091370278, ""flight_point_level"": 0.0}]",176,0,567.2376015,347.0232011,73.54183272,537.675729,348,528
8,,2,504.8733572,50.14412827,,47.13479077,160.0374353,,276.004074,105.0907818,,,0.825,129,56.41760106,514.5336581,,77.20533377,117.8800888,,66.81146741,316.2068735,,,0.825,267,,0,0,"[{""entry_x"": 420.9603274196097, ""entry_y"": 12.783640340354737, ""exit_x"": 409.8342255478904, ""exit_y"": 650.1975896710788, ""middle_x"": 415.39727648375003, ""middle_y"": 331.4906150057168, ""entry_time"": 101.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 166, ""sync_offset"": 136.95, ""sync_point_x"": 418.57022035802373, ""sync_point_y"": 149.7127821920225, ""flight_point_level"": 0.0},{""entry_x"": 650.1975896710788, ""entry_y"": 250.16577445210964, ""exit_x"": 239.03967258039032, ""exit_y"": 647.2163596596453, ""middle_x"": 444.61863112573457, ""middle_y"": 448.69106705587745, ""entry_time"": 123.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 144, ""sync_offset"": 118.8, ""sync_point_x"": 564.7400213908471, ""sync_point_y"": 332.6911888626385, ""flight_point_level"": 0.0},{""entry_x"": 341.51683391182536, ""entry_y"": 0.20102708369842048, ""exit_x"": 267.0330315257402, ""exit_y"": 653.9369705377292, ""middle_x"": 304.2749327187828, ""middle_y"": 327.06899881071377, ""entry_time"": 98.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 169, ""sync_offset"": 139.42499999999998, ""sync_point_x"": 325.73347583223494, ""sync_point_y"": 138.7297830614066, ""flight_point_level"": 0.0}]",138,0,394.1690418,76.72188294,56.41760106,514.5336581,165,243
9,,2,643.8486504,431.9756081,,28.52999898,195.7769078,,336.1893247,313.876258,,,0.825,138,514.5336581,56.41760106,,21.91845926,448.2614233,,268.2260587,252.3395122,,,0.825,267,,0,0,"[{""entry_x"": 593.5497183156067, ""entry_y"": 131.40104235982406, ""exit_x"": 131.40104235982403, ""exit_y"": 593.5497183156067, ""middle_x"": 362.47538033771536, ""middle_y"": 362.47538033771536, ""entry_time"": 210.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 57, ""sync_offset"": 47.025, ""sync_point_x"": 560.2980219303093, ""sync_point_y"": 164.65273874512144, ""flight_point_level"": 0.0},{""entry_x"": 341.51683391182536, ""entry_y"": 659.7989729163016, ""exit_x"": 2.4597699583637223, ""exit_y"": 370.2168833236987, ""middle_x"": 171.98830193509454, ""middle_y"": 515.0079281200002, ""entry_time"": 87.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 180, ""sync_offset"": 148.5, ""sync_point_x"": 228.59654802022078, ""sync_point_y"": 563.3559377392694, ""flight_point_level"": 0.0},{""entry_x"": 596.9756081437326, ""entry_y"": 136.03086674348387, ""exit_x"": 30.918430277905543, ""exit_y"": 190.53597362556917, ""middle_x"": 313.9470192108191, ""middle_y"": 163.2834201845265, ""entry_time"": 19.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 248, ""sync_offset"": 204.6, ""sync_point_x"": 393.31754595780785, ""sync_point_y"": 155.64090770912168, ""flight_point_level"": 0.0}]",129,0,544.4923535,393.8362991,514.5336581,56.41760106,369,283
10,,2,655.9371524,278.3766265,,30.91843028,190.5359736,,343.4277913,234.4563001,,,0.825,93,117.8800888,582.7946662,,122.324271,73.54183272,,120.1021799,328.1682495,,,0.825,267,,0,0,"[{""entry_x"": 546.4994795668674, ""entry_y"": 579.0541614735148, ""exit_x"": 1.2557496297239936, ""exit_y"": 301.2386048932726, ""middle_x"": 273.87761459829574, ""middle_y"": 440.1463831833937, ""entry_time"": 50.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 217, ""sync_offset"": 179.02499999999998, ""sync_point_x"": 386.9870365740449, ""sync_point_y"": 497.7785122576424, ""flight_point_level"": 0.0},{""entry_x"": 448.26142334994915, ""entry_y"": 638.0815407440766, ""exit_x"": 420.9603274196097, ""exit_y"": 12.783640340354737, ""middle_x"": 434.61087538477943, ""middle_y"": 325.4325905422157, ""entry_time"": 185.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 82, ""sync_offset"": 67.64999999999999, ""sync_point_x"": 445.31057179468417, ""sync_point_y"": 570.495928554064, ""flight_point_level"": 0.0},{""entry_x"": 618.6245033560006, ""entry_y"": 489.9871746812912, ""exit_x"": 175.07438428065612, ""exit_y"": 621.3727056434459, ""middle_x"": 396.8494438183283, ""middle_y"": 555.6799401623686, ""entry_time"": 150.0, ""flight_level"": 0, ""speed"": 0.825, ""sync_time"": 117, ""sync_offset"": 96.52499999999999, ""sync_point_x"": 526.0744284478483, ""sync_point_y"": 517.4017558288374, ""flight_point_level"": 0.0}]",174,0,513.7841711,258.3983279,117.8800888,582.7946662,298,452
